,episode_no,Score,step_count,exec_time,rolling_step_count,rolling_Score,model_identifier,identifier_param,loss_fn_env,model_name,reached_goal,more_than_200,for_goal_analysis,rolling_exec_time,step_count_cumsum,exec_time_cumsum
76054,5153,-3551.475652370093,334,0.5265915393829346,114.47,-822.3889671018495,alpha,0.01,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.01,,False,True,1.322398772239685,720545,1044.6241793632505
65535,1392,-121.66355737598322,1000,1.939811944961548,1000.0,-97.49375714178922,alpha,0.0001,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_alpha_0.0001,,False,True,0.8310671710968017,1038757,2511.1487963199615
92770,6000,133.87055366515216,989,1.8400754928588867,765.13,46.70834870327837,batch_size,8.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_8,,False,True,0.0965512585639953,3555033,5422.111963272095
86054,1450,299.96507786760867,199,0.1755149364471435,264.41,250.86260467574868,batch_size,32.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_32,,True,False,0.1158599829673766,594016,880.1011638641357
86769,714,223.8361688570582,325,0.4897284507751465,342.99,250.83058647304625,batch_size,64.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_64,,True,False,0.5974127602577209,275439,496.1597738265991
83687,935,265.0444268732354,206,0.3071763515472412,280.6,250.84111507067624,batch_size,128.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_128,,True,False,0.1094972610473632,390252,819.6742913722992
84603,915,188.6370083191925,440,1.3264484405517578,299.22,250.4866765399061,batch_size,256.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_batch_size_256,,True,False,2.3642184686660768,332230,817.5130348205566
82751,3109,289.8481883595009,265,0.4936795234680176,360.9,250.35779544613547,ep_decay,5e-06,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_5e-06,,True,False,2.5643683314323424,578060,927.717746734619
78926,1966,291.14594493879065,244,0.3420853614807129,287.17,253.3495596987973,ep_decay,1e-05,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_1e-05,,True,False,1.594864399433136,450121,778.5298504829406
79641,714,223.8361688570582,325,0.5495312213897705,342.99,250.83058647304625,ep_decay,5e-05,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_5e-05,,True,False,1.530905683040619,275439,609.2848794460297
76959,904,266.9773643230725,186,0.2313811779022216,296.0,250.0832487455377,ep_decay,0.0001,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_ep_decay_0.0001,,True,False,1.9060217452049253,426294,932.9632761478424
44896,6000,-47.90384656570127,257,0.4228694438934326,308.51,-10.432377020262374,gamma,0.3,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_gamma_0.3,,False,True,1.4571025085449218,1981937,3484.188999414444
50897,6000,-6.457956502922599,249,0.3111679553985595,335.39,-0.0232470771070723,gamma,0.4,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_gamma_0.4,,False,True,1.5737563824653626,2152192,4203.130510091782
56898,6000,-164.2034331968626,290,0.6811785697937012,349.74,-42.67385175006269,gamma,0.5,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_gamma_0.5,,False,True,1.7238688230514527,2050216,3885.276369571686
62899,6000,-119.35106913551044,1000,2.079437255859375,715.81,2.825098765737531,gamma,0.8,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_gamma_0.8,,False,True,0.7097414374351502,3993874,9244.393893957138
63614,714,223.8361688570582,325,0.4507930278778076,342.99,250.83058647304625,gamma,0.99,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_gamma_0.99,,True,False,1.093445281982422,275439,524.5159840583801
64142,527,-1028.3939677226117,143,0.1894927024841308,139.8,-800.5198367286862,gamma,1.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_gamma_1,,False,True,0.8910848450660706,66379,76.91326379776
30771,1161,281.9026395859629,345,0.6402878761291504,319.16,250.84567337716035,repeat,0.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_0,,True,False,0.8077648258209229,593879,1426.5132069587708
31486,714,223.8361688570582,325,0.5455410480499268,342.99,250.83058647304625,repeat,1.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_1,,True,False,0.0886027574539184,275439,587.8012292385101
32218,731,264.461486661069,356,0.5295825004577637,310.76,250.5569777832256,repeat,2.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_2,,True,False,0.1168771624565124,322064,683.0304851531982
33150,931,262.5390471290066,395,0.609372615814209,352.23,250.26669099589,repeat,3.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_3,,True,False,1.3539583611488342,446023,939.3869869709015
34138,987,271.6030107256695,282,0.4886918067932129,313.18,251.04343613438948,repeat,4.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_4,,True,False,0.1401951885223388,387231,835.4362437725067
35204,1065,248.08595260826888,315,0.5425479412078857,336.71,250.4023105581417,repeat,5.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_5,,True,False,0.0737427902221679,481591,1111.1593685150146
36494,1289,244.61435576314864,349,0.6871623992919922,316.27,250.15714456043293,repeat,6.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_6,,True,False,0.2952499341964721,500127,1073.5233037471771
37303,808,262.4436077295484,237,0.4069116115570068,307.98,250.0745670144689,repeat,7.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_7,,True,False,0.2633355236053466,327956,783.6921393871307
38070,766,273.22286464006083,304,0.5575060844421387,319.77,251.3254129861392,repeat,8.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_8,,True,False,0.2496516489982604,326400,820.0916078090668
38895,824,265.344351846106,300,0.797865629196167,324.16,250.38173410717624,repeat,9.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_repeat_9,,True,False,0.109367344379425,368789,842.4602394104004
104510,1813,230.3889980256347,250,0.3051843643188476,300.33,250.88916066663225,replay_memory_size,5000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_replay_memory_size_5000,,True,False,1.2716677117347717,986079,1843.8878123760223
101981,939,245.41958259766065,267,0.3051817417144775,307.47,252.41839985598875,replay_memory_size,10000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_replay_memory_size_10000,,True,False,1.0482361149787902,318786,492.0439016819
105311,800,260.78998684430064,425,0.6482658386230469,367.8,250.7064346502348,replay_memory_size,50000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_replay_memory_size_50000,,True,False,0.6019691562652588,311781,539.507942199707
102696,714,223.8361688570582,325,0.5176148414611816,342.99,250.83058647304625,replay_memory_size,100000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_replay_memory_size_100000,,True,False,0.4861396741867065,275439,507.9261360168457
106825,1513,249.989739825754,267,0.4607658386230469,326.09,250.8408063833344,replay_memory_size,500000.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_replay_memory_size_500000,,True,False,0.5560027194023133,689525,1472.1348164081573
99216,5071,252.538667552494,298,0.3211407661437988,301.3,254.5315542755256,state_space,32.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_32,,True,False,1.6748304891586303,2887913,4438.936044692993
101041,1824,280.9867810037177,292,0.3410861492156982,326.55,250.1732811238854,state_space,64.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_64,,True,False,1.0486752367019654,953642,1514.1790525913239
93485,714,223.8361688570582,325,0.4398236274719238,342.99,250.83058647304625,state_space,128.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_128,,True,False,0.1130469369888305,275439,460.3765916824341
94144,658,221.5580244679,341,0.5445444583892822,343.99,251.1355321330862,state_space,256.0,LeakyReLU_LunarLander_v2,LeakyReLU_LunarLander_v2_state_space_256,,True,False,1.906766438484192,252802,495.6711266040802
